DATE,OPEN,HIGH,CLOSE,LOW,SHARES_TRADED
2017-03-23,9048.75,9099.05,9086.3,9048.6,197705274.0
2017-03-24,9104.0,9133.55,9108.0,9089.4,210021581.0
2017-03-27,9093.45,9094.85,9045.2,9024.65,209036051.0
2017-03-28,9081.5,9110.4,9100.8,9079.8,188985603.0
2017-03-29,9128.7,9153.15,9143.8,9109.1,250902906.0
2017-03-30,9142.6,9183.15,9173.75,9136.35,333410368.0
2017-03-31,9158.9,9191.7,9173.75,9152.1,196771674.0
2017-04-03,9220.6,9245.35,9237.85,9192.4,143444541.0
2017-04-05,9264.4,9273.9,9265.15,9215.4,190529461.0
2017-04-06,9245.8,9267.95,9261.95,9218.85,191937207.0
2017-04-07,9223.7,9250.5,9198.3,9188.1,195918747.0
2017-04-10,9225.6,9225.65,9181.45,9174.85,139968750.0
2017-04-11,9184.55,9242.7,9237.0,9172.85,206261727.0
2017-04-12,9242.5,9246.4,9203.45,9161.8,166755013.0
2017-04-13,9202.5,9202.65,9150.8,9144.95,171695600.0
2017-04-17,9144.75,9160.0,9139.3,9120.25,132244225.0
2017-04-18,9163.0,9217.9,9105.15,9095.45,179569574.0
2017-04-19,9112.2,9120.5,9103.5,9075.15,179117382.0
2017-04-20,9108.1,9143.9,9136.4,9102.65,175629897.0
2017-04-21,9179.1,9183.65,9119.4,9088.75,159981265.0
2017-04-24,9135.35,9225.4,9217.95,9130.55,172908048.0
2017-04-25,9273.05,9309.2,9306.6,9250.35,173896951.0
2017-04-26,9336.2,9367.0,9351.85,9301.35,191395120.0
2017-04-27,9359.15,9367.15,9342.15,9322.65,215881711.0
2017-04-28,9340.95,9342.65,9304.05,9282.25,167229353.0
2017-05-02,9339.85,9352.55,9313.8,9269.9,166558241.0
2017-05-03,9344.7,9346.3,9311.95,9298.4,156342492.0
2017-05-04,9360.95,9365.65,9359.9,9323.25,277895923.0
2017-05-05,9374.55,9377.1,9285.3,9272.0,239133531.0
2017-05-08,9311.45,9338.7,9314.05,9297.95,179709949.0
2017-05-09,9337.35,9338.95,9316.85,9307.7,136417428.0
2017-05-10,9339.65,9414.75,9407.3,9336.0,157363135.0
2017-05-11,9448.6,9450.65,9422.4,9411.3,176439840.0
2017-05-12,9436.65,9437.75,9400.9,9372.55,159079418.0
2017-05-15,9433.55,9449.25,9445.4,9423.1,145163953.0
2017-05-16,9461.0,9517.2,9512.25,9456.35,171709433.0
2017-05-17,9517.6,9532.6,9525.75,9486.1,211856040.0
2017-05-18,9453.2,9489.1,9429.45,9418.1,199340647.0
2017-05-19,9469.9,9505.75,9427.9,9390.75,259861396.0
2017-05-22,9480.25,9498.65,9438.25,9427.9,202874757.0
2017-05-23,9445.05,9448.05,9386.15,9370.0,231345629.0
2017-05-24,9410.9,9431.9,9360.55,9341.65,218265181.0
2017-05-25,9384.05,9523.3,9509.75,9379.2,298147347.0
2017-05-26,9507.75,9604.9,9595.1,9495.4,225647631.0
2017-05-29,9560.05,9637.75,9604.9,9547.7,242266034.0
2017-05-30,9590.65,9635.3,9624.55,9581.2,199894193.0
2017-05-31,9636.55,9649.6,9621.25,9609.25,427053433.0
2017-06-01,9603.55,9634.65,9616.1,9589.9,181533283.0
2017-06-02,9657.15,9673.5,9653.5,9637.45,167195027.0
2017-06-05,9656.3,9687.2,9675.1,9640.7,131685021.0
2017-06-06,9704.25,9709.3,9637.15,9630.2,150379695.0
2017-06-07,9663.95,9678.55,9663.9,9630.55,165669924.0
2017-06-08,9682.4,9688.7,9647.25,9641.5,160165459.0
2017-06-09,9638.55,9676.25,9668.25,9608.15,163897548.0
2017-06-12,9646.7,9647.05,9616.4,9598.5,145786938.0
2017-06-13,9615.55,9654.15,9606.9,9595.4,133734363.0
2017-06-14,9621.55,9627.4,9618.15,9580.45,187378750.0
2017-06-15,9617.9,9621.4,9578.05,9560.8,176423424.0
2017-06-16,9595.45,9615.85,9588.05,9565.5,219808528.0
2017-06-19,9626.4,9673.3,9657.55,9614.9,146146062.0
2017-06-20,9670.5,9676.5,9653.5,9643.75,164437226.0
2017-06-21,9648.1,9650.45,9633.6,9608.6,148490556.0
2017-06-22,9642.65,9698.85,9630.0,9617.75,204888654.0
2017-06-23,9643.25,9647.65,9574.95,9565.3,180580579.0
2017-06-27,9594.05,9615.4,9511.4,9473.45,209593904.0
2017-06-28,9520.2,9522.5,9491.25,9474.35,177652206.0
2017-06-29,9522.95,9575.8,9504.1,9493.8,267283587.0
2017-06-30,9478.5,9535.8,9520.9,9448.75,185202600.0
2017-07-03,9587.95,9624.0,9615.0,9543.55,188690599.0
2017-07-04,9645.9,9650.65,9613.3,9595.5,149313755.0
2017-07-05,9619.75,9643.65,9637.6,9607.35,134849476.0
2017-07-06,9653.6,9700.7,9674.55,9639.95,152001940.0
2017-07-07,9670.35,9684.25,9665.8,9642.65,146232151.0
2017-07-10,9719.3,9782.15,9771.05,9646.45,40142973.0
2017-07-11,9797.45,9830.05,9786.05,9778.85,185322358.0
2017-07-12,9807.3,9824.95,9816.1,9787.7,150045594.0
2017-07-13,9855.8,9897.25,9891.7,9853.45,186866752.0
2017-07-14,9913.3,9913.3,9886.35,9845.45,164456602.0
2017-07-17,9908.15,9928.2,9915.95,9894.7,168596771.0
